n_col_extra,iteration,model,percision,recall
2,7,LOF-euclidean,0.9922491161272776,0.87564
2,7,LOF-cosine,0.9684099271901667,0.98956
2,8,svm-linear,0.4824045829923369,0.51872
2,8,svm-poly,0.4412766810301633,0.70456
2,8,svm-rbf,0.6637685783414426,0.9986
2,8,svm-sigmoid,0.5025185895898296,0.5028
2,8,svm-rbf-approx,0.49525390321074747,0.38192
2,8,LOF-minkowski,0.9919022654933533,0.84764
2,8,LOF-euclidean,0.9919022654933533,0.84764
2,8,LOF-cosine,0.9672816824329606,0.9898
2,9,svm-linear,0.3807815578229292,0.518
2,9,svm-poly,0.41528909783080814,0.65016
2,9,svm-rbf,0.6675846211432543,0.99876
2,9,svm-sigmoid,0.4975452716297787,0.49456
2,9,svm-rbf-approx,0.5310652233239335,0.23352
2,9,LOF-minkowski,0.9917788418104616,0.87824
2,9,LOF-euclidean,0.9917788418104616,0.87824
2,9,LOF-cosine,0.9671070686478221,0.98672
3,0,svm-linear,0.5091239297760097,0.47096
3,0,svm-poly,0.3927553812734505,0.55688
3,0,svm-rbf,0.6662206641868929,0.99584
3,0,svm-sigmoid,0.4995145631067961,0.49392
3,0,svm-rbf-approx,0.5006829752887123,0.64512
3,0,LOF-minkowski,0.9912628355251306,0.8804
3,0,LOF-euclidean,0.9912628355251306,0.8804
3,0,LOF-cosine,0.9489338896757646,0.99156
3,1,svm-linear,0.4869235286146619,0.4312
3,1,svm-poly,0.43016802639318685,0.6728
3,1,svm-rbf,0.6684028243885414,0.99584
3,1,svm-sigmoid,0.5007699293244364,0.50732
3,1,svm-rbf-approx,0.4974808584916888,0.5016
3,1,LOF-minkowski,0.9929690449226123,0.84172
3,1,LOF-euclidean,0.9929690449226123,0.84172
3,1,LOF-cosine,0.9558647804802837,0.99192
3,2,svm-linear,0.4665505732114352,0.5144
3,2,svm-poly,0.41290340195489544,0.60492
3,2,svm-rbf,0.6629954775206172,0.99688
3,2,svm-sigmoid,0.5013667792249558,0.49888
3,2,svm-rbf-approx,0.5035006293266205,0.51204
3,2,LOF-minkowski,0.9921478889038453,0.88448
3,2,LOF-euclidean,0.9921478889038453,0.88448
3,2,LOF-cosine,0.9568559289300889,0.99092
3,3,svm-linear,0.5056517271361948,0.51176
3,3,svm-poly,0.4082519869845842,0.61228
3,3,svm-rbf,0.6646569202859887,0.99656
3,3,svm-sigmoid,0.49925705794947994,0.49728
3,3,svm-rbf-approx,0.5175348812153208,0.38428
3,3,LOF-minkowski,0.9919766255449401,0.85556
3,3,LOF-euclidean,0.9919766255449401,0.85556
3,3,LOF-cosine,0.9536316721867056,0.99048
3,4,svm-linear,0.4767224143949732,0.60088
3,4,svm-poly,0.41096593826667427,0.57624
3,4,svm-rbf,0.663861517976032,0.99712
3,4,svm-sigmoid,0.502238209432454,0.50264
3,4,svm-rbf-approx,0.49763378230797234,0.60148
3,4,LOF-minkowski,0.9912555529576806,0.84792
3,4,LOF-euclidean,0.9912555529576806,0.84792
3,4,LOF-cosine,0.9500306560392398,0.99168
3,5,svm-linear,0.6022709184485594,0.45404
3,5,svm-poly,0.43862088535754823,0.61828
3,5,svm-rbf,0.6653943680768718,0.99716
3,5,svm-sigmoid,0.49830357864124725,0.49348
3,5,svm-rbf-approx,0.49741475448616135,0.58876
3,5,LOF-minkowski,0.9915146565024049,0.87404
3,5,LOF-euclidean,0.9915146565024049,0.87404
3,5,LOF-cosine,0.9517032376860519,0.99236
3,6,svm-linear,0.505464749901536,0.41068
3,6,svm-poly,0.4373060777514145,0.67088
3,6,svm-rbf,0.6638957717208857,0.99672
3,6,svm-sigmoid,0.5036603803612636,0.50636
3,6,svm-rbf-approx,0.48814463544754,0.39528
3,6,LOF-minkowski,0.9917046490428442,0.87032
3,6,LOF-euclidean,0.9917046490428442,0.87032
3,6,LOF-cosine,0.9518316983445739,0.99356
3,7,svm-linear,0.49475086179880917,0.5052
3,7,svm-poly,0.43072466877648447,0.6424
3,7,svm-rbf,0.6657754725556774,0.99608
3,7,svm-sigmoid,0.49845213685522455,0.49592
3,7,svm-rbf-approx,0.497503904933999,0.64976
3,7,LOF-minkowski,0.9917325338421005,0.87328
3,7,LOF-euclidean,0.9917325338421005,0.87328
3,7,LOF-cosine,0.9519378652722239,0.99032
3,8,svm-linear,0.5180368561638291,0.768
3,8,svm-poly,0.42262710487844496,0.62444
3,8,svm-rbf,0.6649502414556708,0.99692
3,8,svm-sigmoid,0.4966871265395716,0.48876
3,8,svm-rbf-approx,0.49454592120460283,0.46244
3,8,LOF-minkowski,0.9933568329718004,0.87924
3,8,LOF-euclidean,0.9933568329718004,0.87924
3,8,LOF-cosine,0.9548935842666358,0.99244
3,9,svm-linear,0.5031511877553847,0.5812
3,9,svm-poly,0.43723061814610725,0.64112
3,9,svm-rbf,0.6661854733071351,0.9968
3,9,svm-sigmoid,0.5031643034526957,0.50248
